,MXC,PT1,PT2,Still,VaccumeCan,PumpingLine,CompressorOutlet,CompressorInlet,MixtureTank,VentingLine,Compressor1 Input,Compressor1 Output,Compressor2 Input,Compressor2 Output
2023-09-15 12:41:51+00:00,10.2092,36386.6,3146.94,899.089,5.25e-06,0.0227,691.0,719.0,5.92,5.0,19.37278,28.06222,19.37278,27.03111
2023-09-15 12:43:43+00:00,10.082600000000001,36390.3,3148.99,899.354,5.25e-06,0.0227,691.0,719.0,5.92,5.0,19.37278,28.06222,19.37278,27.03111
2023-09-15 12:43:48+00:00,10.082600000000001,36390.3,3148.99,899.354,5.27e-06,0.0227,699.0,718.0,5.92,5.01,19.37278,28.06222,19.37278,27.03111
2023-09-15 12:43:51+00:00,10.082600000000001,36390.3,3148.99,899.354,5.27e-06,0.0227,699.0,718.0,5.92,5.01,19.36278,28.02333,19.39611,27.05722
2023-09-15 12:44:43+00:00,10.1045,36387.3,3145.57,899.489,5.27e-06,0.0227,699.0,718.0,5.92,5.01,19.36278,28.02333,19.39611,27.05722
2023-09-15 12:45:51+00:00,10.1045,36387.3,3145.57,899.489,5.26e-06,0.0228,699.0,719.0,5.92,5.01,19.41389,28.06444,19.42722,27.12889
2023-09-15 12:48:44+00:00,10.0018,36379.5,3144.22,899.501,5.26e-06,0.0228,699.0,719.0,5.92,5.01,19.41389,28.06444,19.42722,27.12889
2023-09-15 12:48:51+00:00,10.0018,36379.5,3144.22,899.501,5.26e-06,0.0228,699.0,719.0,5.92,5.01,19.40667,28.06722,19.45278,27.13944
2023-09-15 12:48:54+00:00,10.0018,36379.5,3144.22,899.501,5.28e-06,0.0228,691.0,719.0,5.92,5.01,19.40667,28.06722,19.45278,27.13944
2023-09-15 12:49:44+00:00,10.158199999999999,36379.0,3144.5099999999998,899.413,5.28e-06,0.0228,691.0,719.0,5.92,5.01,19.40667,28.06722,19.45278,27.13944
2023-09-15 12:49:51+00:00,10.158199999999999,36379.0,3144.5099999999998,899.413,5.28e-06,0.0228,691.0,719.0,5.92,5.01,19.43722,28.12667,19.47611,27.14445
2023-09-15 12:49:56+00:00,10.158199999999999,36379.0,3144.5099999999998,899.413,5.29e-06,0.0228,699.0,719.0,5.93,5.01,19.43722,28.12667,19.47611,27.14445
2023-09-15 12:51:45+00:00,10.004199999999999,36375.700000000004,3146.44,899.359,5.29e-06,0.0228,699.0,719.0,5.93,5.01,19.43722,28.12667,19.47611,27.14445
2023-09-15 12:51:51+00:00,10.004199999999999,36375.700000000004,3146.44,899.359,5.29e-06,0.0228,699.0,719.0,5.93,5.01,19.39611,28.13167,19.46833,27.165
2023-09-15 12:52:59+00:00,10.004199999999999,36375.700000000004,3146.44,899.359,5.3e-06,0.0227,696.0,720.0,5.92,5.01,19.39611,28.13167,19.46833,27.165
2023-09-15 12:53:45+00:00,10.071800000000001,36374.7,3149.83,899.839,5.3e-06,0.0227,696.0,720.0,5.92,5.01,19.39611,28.13167,19.46833,27.165
